cid,name
1,Москва
2,Санкт-Петербург
8,Череповец
10,Волгоград
11,Северодвинск
14,Астана
16,Torino
17,Абакан
18,Альметьевск
19,Ангарск
20,Арзамас
22,Архангельск
23,Астрахань
24,Балашиха
25,Барнаул
26,Белгород
27,Бийск
29,Бирск
30,Благовещенск
31,Бор
32,Братск
33,Брянск
34,Великие Луки
35,Великий Новгород
36,Видное
37,Владивосток
38,Владикавказ
39,Владимир
40,Волжский
41,Вологда
42,Воронеж
44,Геленджик
45,Глазов
46,Горно-Алтайск
49,Екатеринбург
50,Елабуга
51,Елец
52,Ессентуки
53,Жуковский
55,Иваново
56,Ижевск
57,Иркутск
58,Ишим
59,Йошкар-Ола
60,Казань
61,Калининград
62,Калуга
64,Кемерово
65,Кинель
66,Киров
67,Кисловодск
68,Ковров
69,Коломна
70,Комсомольск-на-Амуре
71,Кострома
72,Краснодар
73,Красноярск
74,Курган
75,Курск
76,Кызыл
78,Липецк
80,Люберцы
82,Магнитогорск
83,Майкоп
85,Махачкала
87,Мурманск
88,Набережные Челны
90,Нальчик
91,Находка
92,Невинномысск
93,Нижневартовск
94,Нижнекамск
95,Нижний Новгород
96,Нижний Тагил
97,Новокузнецк
98,Новороссийск
99,Новосибирск
101,Новочеркасск
102,Норильск
104,Омск
105,Орёл
106,Оренбург
107,Орехово-Зуево
108,Орск
109,Пенза
110,Пермь
112,Петрозаводск
114,Псков
116,Пятигорск
117,Раменское
119,Ростов-на-Дону
120,Рузаевка
121,Рыбинск
122,Рязань
123,Самара
124,Саранск
125,Саратов
129,Славянск-на-Кубани
130,Смоленск
131,Снежинск
133,Сочи
134,Ставрополь
135,Стерлитамак
136,Сургут
138,Сыктывкар
139,Таганрог
140,Тамбов
141,Тверь
143,Тольятти
144,Томск
146,Тула
147,Тюмень
148,Улан-Удэ
149,Ульяновск
151,Уфа
152,Ухта
153,Хабаровск
155,Химки
156,Чайковский
157,Чебоксары
158,Челябинск
160,Грозный
161,Чита
163,Шадринск
165,Шуя
166,Элиста
167,Южно-Сахалинск
168,Якутск
169,Ярославль
171,Дербент
172,Североморск
175,Апатиты
177,Выборг
182,Тобольск
183,Алма-Ата
185,Севастополь
190,Воркута
191,Кингисепп
194,Ташкент
198,Wien
199,Волхов
204,Бишкек
205,Усть-Каменогорск
208,San Francisco
210,Коряжма
220,Tallinn
223,Донецк
232,Саяногорск
244,Витебск
260,Зеленогорск
264,Салават
266,Котлас
270,Подольск
273,Toronto
274,Старый Оскол
276,Кременчуг
280,Харьков
281,Брест
282,Минск
284,Караганда
290,Курчатов
291,Исфара
292,Одесса
294,Мегион
295,London
307,København
311,Шарыпово
312,Мытищи
314,Киев
320,Lyon
322,Богучар
326,Кандалакша
328,Каменск-Шахтинский
339,Monte-Carlo
340,Серпухов
352,Солнечногорск
353,Боровичи
354,Анапа
360,Ишимбай
361,Семипалатинск
365,Гусь-Хрустальный
374,Тирасполь
375,Мозырь
377,Николаев
378,New York City
382,Нефтеюганск
385,Североуральск
392,Гомель
397,Ступино
403,Ноябрьск
413,Борисов
424,Рубцовск
427,Херсон
438,Ужгород
444,Чернигов
455,Мариуполь
458,Berlin
459,Реутов
462,Сатка
467,Могилев
468,Прокопьевск
472,Костомукша
475,Бахчисарай
478,Керчь
479,Кузнецк
483,Красногорск
501,Сарапул
502,Лиски
516,Нефтекумск
521,Ржев
524,Белорецк
528,Сумы
536,Павлодар
537,Кузнецовск
538,Барановичи
542,Камышин
543,Приозерск
548,Кстово
552,Луганск
580,Электросталь
584,Manchester
591,Фрязино
593,Воскресенск
604,Качканар
610,Пинск
619,Джанкой
621,Дзержинск
625,Дмитров
627,Симферополь
628,Запорожье
642,Гуково
649,Гродно
650,Днепропетровск
652,Переславль-Залесский
663,Измаил
665,Конотоп
669,Железноводск
680,Бугульма
691,Essen
699,Sydney
706,Уральск
708,Новотроицк
709,Климовск
713,Рыбница
715,Салехард
718,Малоярославец
722,Ногинск
728,Усолье-Сибирское
730,Тараз
735,Светлоград
761,Винница
762,Ереван
784,Первомайск
787,Десногорск
788,Ейск
794,Златоуст
799,Евпатория
801,Лыткарино
807,Муром
818,Ялта
824,Великий Устюг
828,Анадырь
830,Бугуруслан
848,Шатура
857,Долгопрудный
859,Королёв
872,Чехов
882,Ачинск
889,Елизово
891,Сортавала
906,Кокшетау
910,Егорьевск
916,Кривой Рог
924,Ашхабад
928,Шаталово
950,Ожерелье
952,Сызрань
994,Белово
1003,Железногорск-Илимский
1006,Актау
1014,Кашира
1017,Chicago
1032,Полоцк
1036,Усть-Илимск
1037,Голицыно
1043,Шарья
1057,Львов
1058,Котовск
1064,Днепродзержинск
1086,Кондопога
1092,Ковдор
1096,Нижнеудинск
1100,Воткинск
1107,Бобруйск
1113,Лида
1127,Дубровно
1133,Бердск
1135,Асбест
1137,Стародуб
1151,Туапсе
1156,Черногорск
1158,Житомир
1167,Белебей
1174,Георгиевск
1185,Хасавюрт
1186,Тихорецк
1217,Лисичанск
1220,Белогорск
1223,Бендеры
1226,Колпашево
1233,Орша
1235,Цивильск
1245,Кумертау
1265,Detroit
1297,Щёлково
1299,Новополоцк
1311,Клин
1315,Мелитополь
1344,Черепаново
1351,Ивановка
1374,Столин
1376,Ошмяны
1386,Сергиев Посад
1397,Павлоград
1415,Межгорье
1418,Озеречье
1433,Красноперекопск
1443,Лепель
1456,Лениногорск
1462,Нововолынск
1475,Calgary
1483,Феодосия
1494,Visaginas
1506,Жлобин
1519,Гатчина
1531,Слоним
1559,Тернополь
1568,Черновцы
1573,Каменск-Уральский
1581,Полтава
1611,Тутаев
1636,Ясиноватая
1637,Нижнесортымский
1661,"Washington, D.C."
1670,Каменногорск
1697,Гюмри
1723,Наро-Фоминск
1724,Заречный
1730,Осиповичи
1741,Червоноград
1746,Северобайкальск
1767,Сибай
1769,Кимры
1777,Гусев
1809,Ленинск-Кузнецкий
1818,Лесозаводск
1839,Вытегра
1870,Прилуки
1930,Канск
1961,Талды-Курган 
1991,Артем
1997,Колпино
1998,Нягань
2001,Первоуральск
2064,Слуцк
2079,Волоколамск
2093,Мелеуз
2098,Владимир-Волынский
2106,Ивано-Франковск
2110,Лермонтов
2115,Шумилино
2116,Печоры
2130,Вычегодский
2131,Атырау
2149,Молодечно
2164,Солигорск
2179,Горки
2201,Кировоград
2225,Богородск
2256,Горловка
2262,Светлогорск
2289,Чашники
2292,Югорск
2302,Усогорск
2322,Тимашевск
2334,Белая Церковь
2359,Волковыск
2375,Энергодар
2390,Cambridge
2396,Красноуральск
2404,Бузулук
2411,Быхов
2412,Приютово
2428,Шатск
2451,Новочебоксарск
2454,Кизилюрт
2460,Айхал
2482,Усть-Катав
2494,Славянск
2496,Дружковка
2510,Алушта
2538,Каменец-Подольский
2539,Донской
2541,Абаза
2566,Дзержинск
2574,Бурштын
2611,Назарово
2613,Днепрорудное
2642,Черкассы
2690,Скадовск
2722,Свислочь
2738,Бердичев
2745,Вольск
2747,Лабинск
2771,Осинники
2789,Дубно
2816,Рошаль
2829,Усть-Кут
2852,Баксан
2876,Покровск
2897,Котовск
2916,Першотравенск
