cid,name
1,Россия
2,Украина
3,Беларусь
129,Монако
9,США
87,Испания
103,Кот д`Ивуар
4,Казахстан
187,Сомали
145,Объединенные Арабские Эмираты
6,Армения
65,Германия
144,Норвегия
79,Зимбабве
209,Франция
36,Бельгия
5,Азербайджан
22,Алжир
88,Италия
183,Сирийская Арабская Республика
16,Таджикистан
152,Пакистан
105,Кувейт
18,Узбекистан
24,Ангилья
15,Молдова
7,Грузия
8,Израиль
97,Китай
191,Таиланд
121,Мальдивы
218,Швеция
11,Кыргызстан
76,Египет
19,Австралия
20,Австрия
13,Литва
229,Япония
55,Вьетнам
10,Канада
49,Великобритания
1316134911,
12,Латвия
220,Шри-Ланка
73,Дания
14,Эстония
17,Туркменистан
208,Фолклендские острова
71,Греция
182,Сингапур
95,Кипр
181,Сербия
43,Бразилия
102,Коста-Рика
165,Румыния
160,Польша
200,Турция
39,Болгария
170,Саудовская Аравия
38,Бермуды
30,Афганистан
74,Доминика
148,Остров Норфолк
115,Мадагаскар
85,Ирландия
161,Португалия
199,Тунис
139,Нидерланды
215,Чехия
140,Никарагуа
28,Аргентина
21,Албания
2147483647,
86,Исландия
207,Финляндия
83,Ирак
67,Гондурас
166,Сальвадор
12317,
45,Буркина-Фасо
228,Ямайка
666,
227,Южно-Африканская Республика
142,Новая Зеландия
137,Нигерия
51,Венесуэла
80,Индия
68,Гонконг
194,Того
104,Куба
98,Колумбия
56,Габон
138,Кюрасао
23,Американское Самоа
123,Марокко
226,Южная Корея
168,Сан-Марино
172,Святая Елена
224,Эфиопия
89,Йемен
175,Сейшелы
126,Мексика
219,Шпицберген и Ян Майен
109,Ливан
223,Эритрея
162,Пуэрто-Рико
31,Багамы
66,Гибралтар
185,Словения
61,Гваделупа
78,Западная Сахара
75,Доминиканская Республика
130,Монголия
190,Сьерра-Леоне
57,Гаити
50,Венгрия
133,Намибия
217,Швейцария
81,Индонезия
154,Палестинская автономия
158,Перу
32,Бангладеш
230,Черногория
212,Хорватия
184,Словакия
77,Замбия
136,Нигер
112,Люксембург
59,Гамбия
221,Эквадор
84,Иран
186,Соломоновы Острова
64,Гвинея-Бисау
231,Джибути
11111,
156,Папуа - Новая Гвинея
94,Кения
53,"Виргинские острова, США"
48,Вануату
100,Конго
27,Антигуа и Барбуда
125,Маршалловы Острова
113,Маврикий
92,Камерун
25,Ангола
159,Питкерн
202,Уоллис и Футуна
233,Ватикан
150,Острова Кука
205,Фиджи
119,Малайзия
155,Панама
44,Бруней-Даруссалам
197,Тринидад и Тобаго
128,Мозамбик
147,Остров Мэн
206,Филиппины
