AK&M;Fitch Ratings;Moody's;S&P;and;bank;capital;day_term;dep_name;min_amount;payments_daily;payments_end;payments_monthly;payments_section;profit;rate;refill;spec_deposit;HPA;RUS-Rating;ExpertRA
;;Baa1.ru;ruBBB+;;Совкомбанк;;365.0;«Максимальный доход (с возможностью досрочного расторжения каждые 12 месяцев)»;5000.0;;1.0;;;10500.0;10.5;1.0;0.0;;AA-;A+
;;;;;Национальный Банк «Траст»;;367.0;«Золото 2014!»;30000.0;;1.0;;;10558.0;10.5;1.0;0.0;;A-;A
;;Baa1.ru;ruA-;;Внешпромбанк;;367.0;«Новый специальный»;100000.0;;1.0;;;10507.0;10.45;1.0;1.0;AA-;;
;;Baa1.ru;ruA-;;Внешпромбанк;;367.0;«Новый лояльный»;100000.0;;1.0;;;10457.0;10.4;1.0;1.0;AA-;;
;;Baa1.ru;ruA-;;Внешпромбанк;;367.0;«Новый лояльный VIP»;100000.0;;1.0;;;10457.0;10.4;1.0;1.0;AA-;;
;;Baa1.ru;ruBBB+;;Совкомбанк;;271.0;«Максимальный доход»;5000.0;;1.0;;;10250.0;10.25;1.0;0.0;;AA-;A+
;;Baa1.ru;ruBBB+;;Совкомбанк;;365.0;«Постоянный доход (с возможностью досрочного расторжения каждые 12 месяцев)»;5000.0;;;1.0;;10200.0;10.2;1.0;0.0;;AA-;A+
;;Baa1.ru;ruBBB+;;Совкомбанк;1.0;365.0;«Проценты на проценты (с возможностью досрочного расторжения каждые 12 месяцев)»;5000.0;;1.0;;;10691.0;10.2;1.0;0.0;;AA-;A+
;;Baa1.ru;ruA-;;Внешпромбанк;;367.0;«Новый стандартный»;100000.0;;1.0;;;10206.0;10.15;1.0;0.0;AA-;;
;AA-(rus);A1.ru;ruAA-;;Московский Кредитный Банк;;380.0;«Сберегательный +»;1000.0;;1.0;;;10411.0;10.0;;0.0;;AA+;A++
;;Baa1.ru;ruBBB+;;Совкомбанк;;271.0;«Постоянный доход»;5000.0;;;1.0;;10000.0;10.0;1.0;0.0;;AA-;A+
;;Baa1.ru;ruBBB+;;Совкомбанк;1.0;271.0;«Проценты на проценты»;5000.0;;1.0;;;10471.0;10.0;1.0;0.0;;AA-;A+
;;;;;Национальный Банк «Траст»;;366.0;«Почетный клиент 2014»;100000.0;;1.0;;;10027.0;10.0;1.0;1.0;;A-;A
;;;;;Национальный Банк «Траст»;;366.0;«Траст - лидер 2014»;100000.0;;1.0;;;10027.0;10.0;1.0;0.0;;A-;A
;;Baa1.ru;ruA-;;Внешпромбанк;1.0;367.0;«Новый регулярный»;100000.0;;;;1.0;10063.0;9.65;1.0;0.0;AA-;;
A+;;Baa3.ru;;;Татфондбанк;1.0;367.0;«Вклад для тех, кто  копит»;100000.0;;;1.0;;9763.0;9.3;1.0;0.0;;;A
;;Ba1.ru;ruA-;;Бинбанк;;366.0;«Двойная выгода (в конце срока)»;10000.0;;1.0;;;9275.0;9.25;1.0;1.0;AA;AA;A+
;AA-(rus);A1.ru;ruAA-;1.0;Московский Кредитный Банк;1.0;370.0;«Расчетный Онлайн»;20000.0;;1.0;;;9791.0;9.25;;1.0;;AA+;A++
;;;;;Московский Индустриальный Банк;;365.0;«Классический»;30000.0;;1.0;;;9250.0;9.25;;0.0;;;A
;;;;;Московский Индустриальный Банк;1.0;366.0;«Зимний»;30000.0;;1.0;;;9680.0;9.25;;1.0;;;A
;A-(rus);A3.ru;ruA;;Русский Стандарт;;360.0;«Высокий процент On-line»;100000.0;;1.0;;;9123.0;9.25;1.0;1.0;AA+;AA-;
;A+(rus);A2.ru;;;Ак Барс;1.0;372.0;«Твори добро»;10000.0;;;1.0;;9680.0;9.1;1.0;1.0;;AA-;
;;Ba1.ru;ruA-;;Бинбанк;1.0;400.0;«Верные друзья»;30000.0;;;;1.0;10311.0;9.05;;0.0;AA;AA;A+
;;Aa3.ru;;;Хоум Кредит Банк;1.0;365.0;«Доходный год »;1000.0;;;1.0;;9381.0;9.0;1.0;0.0;;;
;;;;;Национальный Банк «Траст»;;181.0;«Мультивалютный 2014»;3000.0;;1.0;;;9000.0;9.0;1.0;0.0;;A-;A
;AA-(rus);Aa2.ru;;;ОТП Банк;;366.0;«Теплое отношение»;5000.0;;1.0;;;9025.0;9.0;1.0;0.0;;;
A+;;Baa3.ru;;;Татфондбанк;;368.0;«Вклад для тех, кто с нами»;5000.0;;;;1.0;9074.0;9.0;1.0;0.0;;;A
;;Ba1.ru;ruA-;;Бинбанк;;366.0;«Доходный +»;10000.0;;1.0;;;9025.0;9.0;;0.0;AA;AA;A+
;AA-(rus);A1.ru;ruAA;;Связь-Банк;1.0;365.0;«Чемпион (при открытии через интернет-банк)»;15000.0;;;1.0;;9381.0;9.0;1.0;1.0;;;
;BBB(rus);Baa1.ru;;;Новикомбанк;1.0;367.0;«Детский»;30000.0;;1.0;;;9054.0;9.0;1.0;1.0;;;A+
;A+(rus);A2.ru;;;Ак Барс;;372.0;«Добрые традиции»;100000.0;;1.0;;;9173.0;9.0;;0.0;;AA-;
;A+(rus);Aa3.ru;;;НОМОС-Банк;;365.0;«Номос - счастливый год»;10000.0;;1.0;;;8900.0;8.9;;0.0;AAA;AA;
;;Ba1.ru;ruA-;;Бинбанк;;366.0;«Двойная выгода (ежемесячно)»;10000.0;;;1.0;;8924.0;8.9;1.0;1.0;AA;AA;A+
;;A2.ru;ruA;;Петрокоммерц;;360.0;«Накопление Максимум»;30000.0;;1.0;;;8778.0;8.9;1.0;0.0;;AA-;A+
A+;;Baa3.ru;;;Татфондбанк;;367.0;«Вклад для тех,  кто молод и активен»;100000.0;;1.0;;;8848.0;8.8;1.0;0.0;;;A
;AA-(rus);A1.ru;ruAA;;Связь-Банк;1.0;365.0;«Растущий резерв»;5000.0;;;;1.0;9052.0;8.76;;0.0;;;
