;0
0;AJ Matthews
1;Aaron Brink
2;Aaron Lanfranco
3;Aaron Riley
4;Aaron Rosa
5;Aaron Simpson
6;Aaron Trujillo
7;Aaron Wilkinson
8;Abel Cullum
9;Abel Trujillo
10;Abongo Humphrey
11;Adam Antolin
12;Adam Cella
13;Adam Lynn
14;Adam Schindler
15;Adam Steele
16;Adlan Amagov
17;Adriano Martins
18;Adriano Santos
19;Akihiro Gono
20;Akihito Tanaka
21;Akira Shoji
22;Akitoshi Tamura
23;Akiyo Nishiura
24;Al Iaquinta
25;Alan Belcher
26;Alan Patrick
27;Alavutdin Gadjiev
28;Alberta Cerra Leon
29;Alberto Crane
30;Alejandro Garcia
31;Aleksander Emelianenko
32;Alessio Sakara
33;Alex Caceres
34;Alex Garcia
35;Alex Hunter
36;Alex Karalexis
37;Alex Schoenauer
38;Alex Serdyukov
39;Alex Soto
40;Alex Stiebling
41;Alexander Gustafsson
42;Alexander Otsuka
43;Alexander Trevino
44;Alexandre Barros
45;Alexandre Dantas
46;Alexandre Ferreira
47;Alexandre Franca Nogueira
48;Alexandru Lungu
49;Alexis Davis
50;Ali Bagautinov
51;Aliev Makhmud
52;Alistair Overeem
53;Allan Goes
54;Allen Berube
55;Alvin Cacdac
56;Alvin Robinson
57;Amanda Nunes
58;Amar Suloev
59;Amaury Bitetti
60;Amilcar Alves
61;Amir Rahnavardi
62;Amir Sadollah
63;Anderson Silva
64;Andre Amado
65;Andre Fili
66;Andre Galvao
67;Andre Gusmao
68;Andre Mussi
69;Andre Roberts
70;Andre Walker
71;Andre Winner
72;Andreas Spang
73;Andrei Arlovski
74;Andrei Semenov
75;Andrew Craig
76;Andrew Montanez
77;Andrew Valladerez
78;Andrews Nakahara
79;Andy Anderson
80;Andy Ogle
81;Andy Ologun
82;Andy Uhrich
83;Andy Wang
84;Andy Waters
85;Angelo Antonio
86;Anistavio Medeiros
87;Ansar Chalangov
88;Anthony Alves
89;Anthony Figueroa
90;Anthony Johnson
91;Anthony Leone
92;Anthony Macias
93;Anthony Morrison
94;Anthony Njokuani
95;Anthony Perosh
96;Anthony Pettis
97;Anthony Ruiz
98;Anthony Smith
99;Anthony Torres
100;Anthony Waldburger
101;Anton Kuivanen
102;Antoni Hardonk
103;Antonio Banuelos
104;Antonio Braga Neto
105;Antonio Carvalho
106;Antonio McKee
107;Antonio Mendes
108;Antonio Rodrigo Nogueira
109;Antonio Rogerio Nogueira
110;Antonio Schembri
111;Antonio Silva
112;Antony Rea
113;Antwain Britt
114;Ariel Gandulla
115;Art Jimmerson
116;Art Santore
117;Asbel Cancio
118;Ashe Bowman
119;Assuerio Silva
120;Atsushi Yamamoto
121;Aurelijus Kerpe
122;Azamat Gashimov
123;BJ Penn
124;Bart Palaszewski
125;Baru Harn
126;Bas Rutten
127;Bazigit Atajev
128;Ben Alloway
129;Ben Holscher
130;Ben Lagman
131;Ben Rothwell
132;Ben Saunders
133;Ben Wall
134;Bendy Casimir
135;Beneil Dariush
136;Benji Radach
137;Benson Henderson
138;Bertrand Amoussou
139;Besam Yousef
140;Bibiano Fernandes
141;Bill Cooper
142;Bill Duvall
143;Bill Mahood
144;Billy Evangelista
145;Billy Miles
146;Billy Vaughan
147;Blas Avena
148;Bo Cantrell
149;Bob Cook
150;Bob Gilstrap
151;Bob Sapp
152;Bob Schrijber
153;Bobby Escalante
154;Bobby Green
155;Bobby Hoffman
156;Bobby Lashley
157;Bobby McAndrews
158;Bobby Sanchez
159;Bobby Southworth
160;Bobby Stack
161;Bobby Voelker
162;Booker DeRousse
163;Brad Blackburn
164;Brad Imes
165;Brad Kohler
166;Brad Morris
167;Brad Pickett
168;Brad Scott
169;Brad Tavares
170;Brady Fink
171;Branden Lee Hinkle
172;Brandon Cash
173;Brandon Foxworth
174;Brandon Gaines
175;Brandon Melendez
176;Brandon Michaels
177;Brandon Saling
178;Brandon Shuey
179;Brandon Thatch
180;Brandon Vera
181;Brandon Visher
182;Brandon Wolff
183;Branko Cikatic
184;Brendan Schaub
185;Bret Bergmark
186;Brett Albee
187;Brett Cooper
188;Brett Rogers
189;Brett Tillis
190;Brian Bowles
191;Brian Cobb
192;Brian Davidson
193;Brian Ebersole
194;Brian Foster
195;Brian Gassaway
196;Brian Geraghty
197;Brian Houston
198;Brian Johnston
199;Brian Lo-A-Njoe
200;Brian Melancon
201;Brian Rogers
202;Brian Schwartz
203;Brian Sleeman
204;Brian Stann
205;Brian Warren
206;Bristol Marunde
207;Brock Jardine
208;Brock Larson
209;Brock Lesnar
210;Brodie Farber
211;Bryan Baker
212;Bryan Caraway
213;Bryan Humes
214;Bryan Pardoe
215;Bryan Travers
216;Bryan Vetell
217;Bryson Kamaka
218;Bu-Kyung Jung
219;Buck Meredith
220;Buddy Roberts
221;Byron Bloodworth
222;CB Dollaway
223;CJ Keith
224;Cain Velasquez
225;Caio Magalhaes
226;Cal Worsham
227;Cale Yarbrough
228;Cameron Dollar
229;Caol Uno
230;Carina Damm
231;Carl Malenko
232;Carl Seumanutafa
233;Carl Toomey
234;Carlo Prater
235;Carlos Condit
236;Carlos Eduardo Rocha
237;Carlos Newton
238;Carlos Zevallos
239;Carlton Jones
240;Carmelo Marrero
241;Caros Fodor
242;Carter Williams
243;Casey Huffman
244;Casey Olson
245;Casey Ryan
246;Cat Zingano
247;Cesar Gracie
248;Cesar Marscucci
249;Cezar Ferreira
250;Chad George
251;Chad Griggs
252;Chad Leonhardt
253;Chad Mendes
254;Chad Reiner
255;Chad Vance
256;Chad W. Saunders
257;Chael Sonnen
258;Chalid Arrab
259;Chan Sung Jung
260;Chance Farrar
261;Charlene Gellner
262;Charles Bennett
263;Charles McCarthy
264;Charles McTorry
265;Charles Oliveira
266;Charlie Brenneman
267;Charlie Kohler
268;Charlie Valencia
269;Charon Spain
270;Chase Beebe
271;Chase Gormley
272;Che Mills
273;Cheick Kongo
274;Chico Camus
275;Chris Amarante
276;Chris Barnhizer
277;Chris Bostick
278;Chris Brennan
279;Chris Brown
280;Chris Camozzi
281;Chris Cariaso
282;Chris Clements
283;Chris Condo
284;Chris Cope
285;Chris Culley
286;Chris Guillen
287;Chris Haseman
288;Chris Hawk
289;Chris Holdsworth
290;Chris Horodecki
291;Chris Leben
292;Chris Liguori
293;Chris Lytle
294;Chris Mickle
295;Chris Price
296;Chris Sanford
297;Chris Saunders
298;Chris Spang
299;Chris Tuchscherer
300;Chris Weidman
301;Chris Wilson
302;Chris Yee
303;Christian Morecraft
304;Christian Wellisch
305;Christophe Leninger
306;Chuck Grigsby
307;Chuck Liddell
308;Claude Patrick
309;Claudio Mattos
310;Claudionor Fontinelle
311;Clay French
312;Clay Guida
313;Clay Harvison
314;Clifford Starks
315;Clint Coronel
316;Clint Godfrey
317;Clint Hester
318;Cody Canterbury
319;Cody Donovan
320;Cody Floyd
321;Cody McKenzie
322;Cole Escovedo
323;Cole Miller
324;Cole Province
325;Colin Robinson
326;Coltin Cole
327;Colton Smith
328;Conor Heun
329;Conor McGregor
330;Constantinos Philippou
331;Corey Hill
332;Cortez Coleman
333;Cory Devela
334;Cory Peterson
335;Cory Walmsley
336;Coty Wheeler
337;Court McGee
338;Courtney Buck
339;Courtney Turner
340;Crafton Wallace
341;Craig Zellner
342;Crezio de Souza
343;Cristiane Justino
344;Cristiano Marcello
345;Crosley Gracie
346;Cub Swanson
347;Cung Le
348;Curt Warburton
349;Curtis Stout
350;Cyrille Diabate
351;DaMarques Johnson
352;Dae Won Kim
353;Daijiro Matsui
354;Daiju Takase
355;Daisuke Nakamura
356;Daisuke Sugie
357;Dale Hartt
358;Damacio Page
359;Damir Mirenic
360;Dan Bobish
361;Dan Christison
362;Dan Evensen
363;Dan Hardy
364;Dan Henderson
365;Dan Lauzon
366;Dan Miller
367;Dan Severn
368;Dan Stittgen
369;Daniel Acacio
370;Daniel Cormier
371;Daniel Gracie
372;Daniel McWilliams
373;Daniel Omielanczuk
374;Daniel Pineda
375;Daniel Puder
376;Daniel Roberts
377;Daniel Sarafian
