EVENT;LINK;DATE
UFC Fight Night 38: Shogun vs. Henderson;/events/details/662;Mar. 23, 2014
UFC 171: Hendricks vs. Lawler;/events/details/653;Mar. 15, 2014
UFC Fight Night 37: Gustafsson vs. Manuwa;/events/details/649;Mar. 8, 2014
UFC - TUF China Finale;/events/details/655;Mar. 1, 2014
UFC 170: Rousey vs. McMann;/events/details/650;Feb. 22, 2014
UFC Fight Night 36: Machida vs. Mousasi;/events/details/647;Feb. 15, 2014
UFC 169: Barao vs. Faber 2;/events/details/646;Feb. 1, 2014
UFC on Fox 10;/events/details/652;Jan. 25, 2014
UFC Fight Night 35: Rockhold vs. Philippou;/events/details/651;Jan. 15, 2014
UFC Fight Night 34: Saffiedine vs. Lim;/events/details/648;Jan. 4, 2014
UFC 168: Weidman vs. Silva 2;/events/details/638;Dec. 28, 2013
UFC on Fox 9;/events/details/645;Dec. 14, 2013
UFC Fight Night 33: Hunt vs. Bigfoot;/events/details/644;Dec. 6, 2013
UFC - TUF 18 Finale;/events/details/643;Nov. 30, 2013
UFC 167: St-Pierre vs. Hendricks;/events/details/637;Nov. 16, 2013
UFC Fight Night 32: Belfort vs. Henderson;/events/details/642;Nov. 9, 2013
UFC Fight Night 31: Fight for the Troops 3;/events/details/640;Nov. 6, 2013
UFC Fight Night 30: Machida vs. Munoz;/events/details/639;Oct. 26, 2013
UFC 166: Velasquez vs. Dos Santos 3;/events/details/636;Oct. 19, 2013
UFC Fight Night 29: Maia vs. Shields;/events/details/641;Oct. 9, 2013
UFC 165: Jones vs. Gustafsson;/events/details/634;Sep. 21, 2013
UFC Fight Night 28: Teixeira vs. Bader;/events/details/635;Sep. 4, 2013
UFC 164: Henderson vs. Pettis 2;/events/details/631;Aug. 31, 2013
UFC Fight Night 27: Condit vs. Kampmann 2;/events/details/633;Aug. 28, 2013
UFC Fight Night 26: Shogun vs. Sonnen;/events/details/632;Aug. 17, 2013
UFC 163: Aldo vs. Jung;/events/details/630;Aug. 3, 2013
UFC on Fox 8;/events/details/629;Jul. 27, 2013
UFC 162: Silva vs. Weidman;/events/details/627;Jul. 6, 2013
UFC 161: Evans vs. Henderson;/events/details/626;Jun. 15, 2013
UFC on FUEL TV 10;/events/details/628;Jun. 8, 2013
UFC 160: Velasquez vs. Silva 2;/events/details/624;May. 25, 2013
UFC on FX 8;/events/details/625;May. 18, 2013
UFC 159: Jones vs. Sonnen;/events/details/620;Apr. 27, 2013
UFC on Fox 7;/events/details/621;Apr. 20, 2013
UFC - TUF 17 Finale;/events/details/623;Apr. 13, 2013
UFC on FUEL TV 9;/events/details/622;Apr. 6, 2013
UFC 158: St-Pierre vs. Diaz;/events/details/619;Mar. 16, 2013
UFC on FUEL TV 8;/events/details/618;Mar. 2, 2013
UFC 157: Rousey vs. Carmouche;/events/details/616;Feb. 23, 2013
UFC on FUEL TV 7;/events/details/615;Feb. 16, 2013
UFC 156: Aldo vs. Edgar;/events/details/613;Feb. 2, 2013
UFC on Fox 6;/events/details/612;Jan. 26, 2013
UFC on FX 7;/events/details/614;Jan. 19, 2013
Strikeforce - Marquardt vs. Saffiedine;/events/details/611;Jan. 12, 2013
DREAM 18;/events/details/617;Dec. 31, 2012
UFC 155: Dos Santos vs. Velasquez 2;/events/details/610;Dec. 29, 2012
UFC - TUF 16 Finale;/events/details/609;Dec. 15, 2012
UFC on FX 6;/events/details/602;Dec. 14, 2012
UFC on Fox 5;/events/details/608;Dec. 8, 2012
UFC 154: St-Pierre vs. Condit;/events/details/600;Nov. 17, 2012
UFC on FUEL TV 6;/events/details/607;Nov. 10, 2012
UFC 153: Silva vs. Bonnar;/events/details/604;Oct. 13, 2012
UFC on FX 5;/events/details/603;Oct. 5, 2012
UFC on FUEL TV 5;/events/details/598;Sep. 29, 2012
UFC 152: Jones vs. Belfort;/events/details/601;Sep. 22, 2012
Strikeforce - Rousey vs. Kaufman;/events/details/599;Aug. 18, 2012
UFC 150: Henderson vs. Edgar 2;/events/details/597;Aug. 11, 2012
UFC on Fox 4;/events/details/596;Aug. 4, 2012
Invicta FC 2: McMann vs. Baszler;/events/details/656;Jul. 28, 2012
UFC 149: Faber vs. Barao;/events/details/592;Jul. 21, 2012
Strikeforce - Rockhold vs. Kennedy;/events/details/595;Jul. 14, 2012
UFC on FUEL TV 4;/events/details/594;Jul. 11, 2012
UFC 148: Silva vs. Sonnen 2;/events/details/591;Jul. 7, 2012
UFC 147: Silva vs. Franklin 2;/events/details/593;Jun. 23, 2012
UFC on FX 4;/events/details/590;Jun. 22, 2012
