EVENT;FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;ROUND;TIME;DATE
2H2H - Pride & Honor;Aleksander Emelianenko;Fabricio Werdum;SUB;Arm Triangle;1;3:24;Nov. 12, 2006
AFC 1;Ralph Dillon;Rich Franklin;SUB;Kimura;1;2:55;Jul. 14, 2004
Adrenaline MMA 2: Miletich vs. Denny;Chris Guillen;Ben Rothwell;SUB;Strikes;1;3:40;Dec. 11, 2008
Affliction - Banned;Tim Sylvia;Fedor Emelianenko;SUB;Rear Naked Choke;1;0:36;Jul. 19, 2008
Affliction - Banned;Ben Rothwell;Andrei Arlovski;KO/TKO;Punch;3;1:13;Jul. 19, 2008
Affliction - Banned;Pedro Rizzo;Josh Barnett;KO/TKO;Punch;2;1:44;Jul. 19, 2008
Affliction - Banned;Trenell Young;Mark Hominick;SUB;Armbar;2;4:25;Jul. 19, 2008
Affliction - Banned;Mike Whitehead;Renato Sobral;U. DEC;;3;5:00;Jul. 19, 2008
Affliction - Banned;Fabio Nascimento;Matt Lindland;U. DEC;;3;5:00;Jul. 19, 2008
Affliction - Banned;Edwin DeWees;Antonio Rogerio Nogueira;KO/TKO;Punches;1;4:06;Jul. 19, 2008
Affliction - Banned;JJ Ambrose;Mike Pyle;SUB;Rear Naked Choke;1;2:51;Jul. 19, 2008
Affliction - Banned;Terry Martin;Vitor Belfort;KO/TKO;Punch;2;3:12;Jul. 19, 2008
Affliction - Banned;Gary Goodridge;Paul Buentello;U. DEC;;3;5:00;Jul. 19, 2008
Affliction - Day of Reckoning;Jason High;Jay Hieron;KO/TKO;Punch;1;1:04;Jan. 24, 2009
Affliction - Day of Reckoning;Andrei Arlovski;Fedor Emelianenko;KO/TKO;Punch;1;3:14;Jan. 24, 2009
Affliction - Day of Reckoning;Gilbert Yvel;Josh Barnett;SUB;Strikes;3;3:05;Jan. 24, 2009
Affliction - Day of Reckoning;Matt Lindland;Vitor Belfort;KO/TKO;Punch;1;0:37;Jan. 24, 2009
Affliction - Day of Reckoning;Rameau Thierry Sokoudjou;Renato Sobral;SUB;D'Arce Choke;2;2:36;Jan. 24, 2009
Affliction - Day of Reckoning;Kiril Sidelnikov;Paul Buentello;Dr's Stoppage;Fatigue;3;4:18;Jan. 24, 2009
Affliction - Day of Reckoning;Bobby Green;Dan Lauzon;SUB;Rear Naked Choke;1;4:55;Jan. 24, 2009
Affliction - Day of Reckoning;Vladimir Matyushenko;Antonio Rogerio Nogueira;KO/TKO;Knee;2;4:26;Jan. 24, 2009
Affliction - Day of Reckoning;Bao Quach;LC Davis;U. DEC;;3;5:00;Jan. 24, 2009
