name;address;phone;email
 ЮГТРАНССЕРВИС;г. Ростов-на-Дону, ул. Суворова д.  25, оф. 325;88633008356;mixa_fx@bk.ru
Ds construction;metalo 2, Vilnius/ Lithuania;370669296805;Viktorija.m@dscon.lt
 CибТрансМиг;г.Барнаул пр-т Красноармейский;79235600155;sibtransmig@mail.ru
ОПАСНЫЙ ГРУЗ;111141 г. МОСКВА, 2-Й ПРОЕЗД ПЕРОВА ПОЛЯ, Д.9;74995799149;info@opasnuigruz.ru
ТехсТройТранс;111141 г. МОСКВА, 2-Й ПРОЕЗД ПЕРОВА ПОЛЯ, Д.9;79872954105;info@tehstroytrans.ru
Лигруз;620057, Россия, г. Екатеринбург, Авиационная 48;73432066610;zakaz@ligruz.ru
;195112, Малоохтинский пр., д. 36;8 (812) 640-00-01;manager@globalpost.ru
ABC-Logostic;г. Москва, ул. Летниковская, д. 10, стр. 1;74956401173;info@abc-logistic.ru
ACT-SERVICE;Волгоградский пр-т, 42, к. 42А;74992716670;info@act-service.ru
Agava Group;г. Санкт-Петербург, шоссе Революции 84;78124481587;info@agava-cl.ru
ANDERWEG;Фрих., Кёльн;4922170096073;anderweg@ya.ru
Antanta Logistic Ltd;8-я улица Текстильщиков, 16, строение 4;+7(495) 721-89-82, (926) 245-76-86;info@antanta-L.ru
ATC C&L;Пришвина,8/2;88005002473;mow@atc-logistic.com
ATE Xpress;PK, г.Астана, пр. Сарыарка, 31/2;;info@ate.kz
Atlantic Cargo Service;ул. Новозаводская, д. 18, корпус 1;+7(495) 780-35-22 ;info@atlanticcargo.com
ATLAS logistic center;Lubanas 76, Riga, Latvia;37167146231;atlas@warehouse.lv
Aurora Forwarding ltd.;г.Москва ул.Профсоюзная, 69;74995798894;olga.ustimenko@aurora-forward.com
Autoerosale;Vienibas gatve 168;37129690552;logistic@autoerosale.com
Autokompas;г.Москва, Вешних вод,2;78612409811;2409575@mail.ru
Avecton;г.Москва, Пресненская наб., д. 10;74952022884;info@avecton.ru
Aврора( транспортная компания);Приорова 4 офис 216;78182696977;tkavrora29@mail.ru
 CибТрансМиг;г.Барнаул пр-т Красноармейский;79235600155;sibtransmig@mail.ru
 Автопилот;Москва, Люблинская д.8;79854120041;89854120041@mail.ru
 Гарант Транс;г.Москва, Сокольническая пл., д.4, пом.3;79653929600;garant-trans@lenta.ru
 Движение;Москва Энтузиастов ш. д.56. стр 25;84955671312;shuvalova@dwi.su
 ЮГТРАНССЕРВИС;г. Ростов-на-Дону, ул. Суворова д.  25, оф. 325;88633008356;mixa_fx@bk.ru
Best Logistics Group;Варшавское шоссе, 125;+7(495) 665-15-05;info@blgroup.ru
Boma-services;Москва, ул.Шаболовка д. 34, стр.3;79263778453;boma.services2012@gmail.com
BORUSAN LOJISTIK;г Алматы ул Фурманова 174 Б 3 этаж;+7 727 261 51 22;vdzyba@borusan.com
Boxberry;;;
Bullet trans;город Алматы улица Северное кольцо 7 офис 7;+77272450641;Bullet.Trans@mail.ru
BusinessTransit;Благовещенск, Театральная 111 - 506;+7499263667;businesstransit@gmail.com
"""Автологистик""";С-Петербург ул.Лужская 14/1;79681865515;autologistic@list.ru
"""Континент МСК""";Россия, г. Москва, ул. Салтыковская, д.23;(499) 342-94-25;mdeviatkin@yandex.ru
Cargo 360;г. Новосибирск, ул. Красный проспект, 14.;79130083636;info@cargo-360.ru
CargoService;Москва ул.Гиляровского 33;74955186889;ruscargoservice@gmail.com
Centr Logistic-servise;г. Моска, ул. Электродная, д 11;74956644572;6644572@gmail.com
China Market Company;660075 г.Красноярск, ул.Маерчака,3;73912958287;ved@chinamarketco.ru
China Premium Logistics;Beijing, China 100022 6A Jiangguomenwai Avenue, Chaoyang District 9C Tower D, Central International Trade Center;74992724379;cplcl@yandex.ru
CLARUSLogistic;метро Московские ворота;79643267827;skripnik.mikhail@hotmail.com
Com-stil;;;info@com-stil.com
