tcs_customer_id;bad;sample_type
1;;test
2;0;train
3;1;train
4;0;train
5;0;train
6;0;train
7;0;train
8;0;train
9;0;train
10;1;train
11;;test
12;0;train
13;;test
14;0;train
15;0;train
16;1;train
17;0;train
18;0;train
19;0;train
20;0;train
21;;test
22;;test
23;0;train
24;0;train
25;0;train
26;;test
27;0;train
28;0;train
29;0;train
30;1;train
31;;test
32;0;train
33;0;train
34;0;train
35;0;train
36;0;train
37;0;train
38;0;train
39;0;train
40;0;train
41;0;train
42;0;train
43;0;train
44;0;train
45;0;train
46;0;train
47;0;train
48;;test
49;0;train
50;0;train
51;0;train
52;0;train
53;0;train
54;0;train
55;;test
56;0;train
57;;test
58;0;train
59;1;train
60;0;train
61;0;train
62;0;train
63;1;train
64;1;train
65;0;train
66;0;train
67;;test
68;;test
69;;test
70;0;train
71;0;train
72;;test
73;1;train
74;0;train
75;0;train
76;0;train
77;0;train
78;0;train
79;0;train
80;0;train
81;0;train
82;;test
83;0;train
84;0;train
85;0;train
86;;test
87;1;train
88;1;train
89;;test
90;0;train
91;0;train
92;;test
93;;test
94;;test
95;0;train
96;;test
97;0;train
98;0;train
99;;test
100;0;train
101;0;train
102;0;train
103;;test
104;0;train
105;0;train
106;0;train
107;;test
108;0;train
109;0;train
110;0;train
111;0;train
112;;test
113;0;train
114;0;train
115;1;train
116;0;train
117;0;train
118;0;train
119;;test
120;0;train
121;0;train
122;0;train
123;;test
124;0;train
125;0;train
126;;test
127;0;train
128;0;train
129;0;train
130;;test
131;0;train
132;0;train
133;0;train
134;0;train
135;0;train
136;;test
137;0;train
138;0;train
139;;test
140;1;train
141;;test
142;;test
143;0;train
144;;test
145;0;train
146;0;train
147;0;train
148;;test
149;0;train
150;0;train
151;0;train
152;;test
153;0;train
154;1;train
155;1;train
156;0;train
157;0;train
158;0;train
159;;test
160;;test
161;0;train
162;0;train
163;0;train
164;;test
165;0;train
166;;test
167;0;train
168;;test
169;0;train
170;0;train
171;;test
172;0;train
173;;test
174;;test
175;0;train
176;;test
177;0;train
178;0;train
179;0;train
180;0;train
181;;test
182;0;train
183;0;train
184;;test
185;0;train
186;0;train
187;1;train
188;0;train
189;0;train
190;;test
191;0;train
192;;test
193;0;train
194;1;train
195;0;train
196;0;train
197;1;train
198;1;train
199;0;train
200;;test
201;0;train
202;;test
203;0;train
204;0;train
205;0;train
206;;test
207;0;train
208;0;train
209;0;train
210;0;train
211;0;train
212;;test
213;0;train
214;0;train
215;0;train
216;;test
217;0;train
218;;test
219;0;train
220;0;train
221;0;train
222;0;train
223;;test
224;;test
225;;test
226;0;train
227;0;train
228;0;train
229;0;train
230;0;train
231;1;train
232;;test
233;;test
234;0;train
235;0;train
236;0;train
237;0;train
238;1;train
239;;test
240;0;train
241;0;train
242;0;train
243;1;train
244;;test
245;;test
246;;test
247;0;train
248;;test
249;0;train
250;0;train
251;0;train
252;0;train
253;0;train
254;0;train
255;1;train
256;0;train
257;;test
258;0;train
259;;test
260;0;train
261;0;train
262;0;train
263;0;train
264;;test
265;0;train
266;;test
267;0;train
268;;test
269;0;train
270;0;train
271;1;train
272;0;train
273;0;train
274;;test
275;0;train
276;0;train
277;1;train
278;0;train
279;0;train
280;0;train
281;0;train
282;1;train
283;0;train
284;;test
285;;test
286;0;train
287;0;train
288;0;train
289;0;train
290;;test
291;;test
292;0;train
293;;test
294;;test
295;;test
296;0;train
297;;test
298;0;train
299;0;train
300;0;train
301;;test
302;;test
303;0;train
304;0;train
305;0;train
306;0;train
307;;test
308;0;train
309;0;train
310;;test
311;0;train
312;0;train
313;;test
314;1;train
315;0;train
316;;test
317;0;train
318;;test
319;0;train
320;0;train
321;;test
322;1;train
323;0;train
324;0;train
325;0;train
326;0;train
327;;test
328;0;train
329;0;train
330;0;train
331;;test
332;;test
333;0;train
334;0;train
335;0;train
