FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;PASS_LOSE;PASS_WIN;ROUND;STR_LOSE;STR_WIN;SUB_LOSE;SUB_WIN;TD_LOSE;TD_WIN;DATE
31;543;1;4;0.0;3.0;1;0.0;4.0;0.0;1.0;0.0;1.0;2006-12-11 00:00:00
1339;1386;1;29;0.0;2.0;1;1.0;2.0;0.0;3.0;0.0;2.0;2004-07-14 00:00:00
286;131;1;52;0.0;2.0;1;3.0;7.0;0.0;0.0;0.0;0.0;2008-11-12 00:00:00
1630;546;1;44;0.0;1.0;1;0.0;15.0;0.0;1.0;0.0;0.0;2008-07-19 00:00:00
131;73;0;42;0.0;1.0;3;18.0;52.0;0.0;1.0;0.0;2.0;2008-07-19 00:00:00
1312;890;0;42;0.0;0.0;2;7.0;26.0;0.0;0.0;0.0;0.0;2008-07-19 00:00:00
1673;1117;1;5;0.0;0.0;2;17.0;25.0;0.0;4.0;1.0;0.0;2008-07-19 00:00:00
499;109;0;43;0.0;0.0;1;6.0;19.0;0.0;0.0;0.0;0.0;2008-07-19 00:00:00
681;1200;1;44;0.0;4.0;1;9.0;18.0;0.0;2.0;0.0;1.0;2008-07-19 00:00:00
1607;1704;0;42;0.0;0.0;2;5.0;21.0;0.0;0.0;1.0;0.0;2008-07-19 00:00:00
728;743;0;42;0.0;0.0;1;0.0;6.0;0.0;0.0;0.0;0.0;2009-01-24 00:00:00
73;546;0;42;0.0;0.0;1;15.0;5.0;0.0;0.0;0.0;0.0;2009-01-24 00:00:00
602;890;1;52;0.0;7.0;3;11.0;49.0;0.0;1.0;0.0;3.0;2009-01-24 00:00:00
1143;1704;0;42;0.0;0.0;1;1.0;6.0;0.0;0.0;0.0;0.0;2009-01-24 00:00:00
1341;1363;1;7;0.0;2.0;2;13.0;20.0;0.0;1.0;0.0;1.0;2009-01-24 00:00:00
154;365;1;44;3.0;1.0;1;21.0;2.0;1.0;5.0;1.0;0.0;2009-01-24 00:00:00
1707;109;0;30;0.0;0.0;2;14.0;24.0;0.0;0.0;0.0;0.0;2009-01-24 00:00:00
1292;187;0;43;;;2;;;;;;;2009-01-24 00:00:00
812;751;0;42;0.0;0.0;1;0.0;3.0;0.0;0.0;0.0;0.0;1999-01-06 00:00:00
1143;546;1;5;0.0;3.0;1;3.0;0.0;0.0;2.0;0.0;1.0;2007-04-14 00:00:00
1356;695;1;19;0.0;3.0;1;0.0;0.0;0.0;1.0;0.0;1.0;2007-02-18 00:00:00
753;224;0;43;0.0;0.0;1;6.0;13.0;2.0;0.0;0.0;4.0;2006-12-16 00:00:00
342;364;0;43;2.0;1.0;1;3.0;10.0;0.0;0.0;1.0;0.0;1997-06-15 00:00:00
518;364;1;19;0.0;0.0;1;1.0;1.0;0.0;1.0;0.0;1.0;1997-06-15 00:00:00
1211;1114;1;4;0.0;1.0;1;0.0;0.0;0.0;1.0;0.0;1.0;2005-09-10 00:00:00
1559;583;0;43;0.0;1.0;1;3.0;14.0;0.0;0.0;0.0;1.0;2005-09-10 00:00:00
1180;1164;0;6;0.0;0.0;1;1.0;22.0;0.0;2.0;0.0;0.0;2005-07-16 00:00:00
696;1164;0;43;0.0;0.0;1;0.0;11.0;0.0;0.0;0.0;0.0;2005-01-10 00:00:00
1439;1164;1;5;0.0;0.0;1;6.0;10.0;0.0;1.0;1.0;0.0;2005-11-26 00:00:00
879;63;0;33;0.0;1.0;2;16.0;49.0;0.0;0.0;0.0;1.0;2005-04-30 00:00:00
349;63;0;43;0.0;2.0;1;3.0;13.0;0.0;1.0;0.0;1.0;2005-03-12 00:00:00
1658;63;0;8;0.0;0.0;1;5.0;20.0;0.0;0.0;0.0;1.0;2006-04-22 00:00:00
680;1704;0;43;0.0;2.0;1;2.0;17.0;0.0;0.0;0.0;1.0;2007-04-21 00:00:00
1546;941;0;42;1.0;0.0;1;4.0;5.0;0.0;0.0;2.0;0.0;2004-10-30 00:00:00
1681;583;0;30;0.0;0.0;1;0.0;2.0;0.0;0.0;0.0;0.0;2005-02-12 00:00:00
1750;1546;1;26;0.0;2.0;1;0.0;0.0;0.0;1.0;0.0;1.0;2010-10-24 00:00:00
981;1129;1;23;0.0;2.0;2;11.0;6.0;0.0;2.0;0.0;0.0;2011-05-29 00:00:00
1385;1546;1;35;0.0;6.0;2;3.0;24.0;1.0;1.0;0.0;3.0;2011-05-29 00:00:00
1004;1595;0;38;0.0;0.0;1;13.0;24.0;0.0;0.0;0.0;0.0;2011-05-29 00:00:00
1757;636;0;6;0.0;1.0;2;40.0;33.0;0.0;2.0;0.0;1.0;2011-05-29 00:00:00
1768;120;0;43;0.0;6.0;1;15.0;32.0;0.0;0.0;0.0;1.0;2011-05-29 00:00:00
640;583;0;43;0.0;0.0;1;1.0;29.0;0.0;0.0;0.0;0.0;2011-07-16 00:00:00
466;1600;0;43;0.0;3.0;1;1.0;14.0;1.0;0.0;0.0;1.0;2011-07-16 00:00:00
1675;1601;0;30;0.0;0.0;1;10.0;15.0;0.0;0.0;1.0;0.0;2011-07-16 00:00:00
1491;546;0;43;0.0;0.0;1;3.0;16.0;0.0;0.0;0.0;0.0;2011-12-31 00:00:00
103;140;0;43;0.0;0.0;1;4.0;20.0;0.0;0.0;0.0;0.0;2011-12-31 00:00:00
947;1157;1;5;0.0;0.0;1;0.0;3.0;0.0;1.0;0.0;0.0;2011-12-31 00:00:00
963;1600;1;4;0.0;2.0;2;5.0;7.0;0.0;1.0;0.0;3.0;2011-12-31 00:00:00
636;1771;0;47;0.0;0.0;1;1.0;6.0;0.0;0.0;0.0;2.0;2011-12-31 00:00:00
728;1112;0;27;0.0;0.0;1;2.0;5.0;0.0;0.0;1.0;0.0;2009-07-20 00:00:00
456;782;1;24;0.0;2.0;1;0.0;2.0;0.0;1.0;0.0;1.0;2009-07-20 00:00:00
1161;1307;1;5;1.0;1.0;1;22.0;0.0;0.0;1.0;0.0;1.0;2009-07-20 00:00:00
64;952;0;43;0.0;2.0;1;2.0;22.0;0.0;0.0;0.0;1.0;2009-07-20 00:00:00
622;1112;0;27;1.0;0.0;1;21.0;17.0;0.0;0.0;1.0;0.0;2009-07-20 00:00:00
792;1546;1;5;0.0;6.0;2;15.0;5.0;1.0;1.0;0.0;5.0;2009-06-10 00:00:00
1448;961;1;29;0.0;1.0;1;0.0;4.0;0.0;1.0;0.0;1.0;2009-06-10 00:00:00
1158;1600;0;38;0.0;2.0;1;6.0;22.0;0.0;0.0;0.0;1.0;2009-06-10 00:00:00
151;1341;0;38;0.0;1.0;1;0.0;6.0;0.0;0.0;0.0;1.0;2009-06-10 00:00:00
647;667;1;23;0.0;1.0;2;13.0;14.0;0.0;1.0;0.0;2.0;2009-06-10 00:00:00
815;140;1;5;0.0;0.0;1;1.0;4.0;0.0;1.0;2.0;0.0;2009-06-10 00:00:00
