"MES";"CLIENT";"PROD_TYPE";"COUNT_SKU"
01.06.2012 0:00:00;164;"ฬรา";6174
01.06.2012 0:00:00;174;"ฬรา";8840
01.06.2012 0:00:00;189;"ฬรา";35413
01.06.2012 0:00:00;194;"สรา";3183
01.06.2012 0:00:00;411;"สรา";384
01.06.2012 0:00:00;866;"ฬรา";25665
01.06.2012 0:00:00;955;"สรา";611
01.06.2012 0:00:00;175;"ฬรา";16690
01.06.2012 0:00:00;189;"สรา";7389
01.06.2012 0:00:00;5029;"ยั";1011
01.06.2012 0:00:00;5150;"ยั";10166
01.06.2012 0:00:00;5383;"ยั";2615
01.06.2012 0:00:00;5416;"ยั";11439
01.06.2012 0:00:00;29;"ยั";330
01.06.2012 0:00:00;891;"ฬรา";3806
01.06.2012 0:00:00;5050;"ฬรา";7714
01.06.2012 0:00:00;5149;"ฬรา";28332
01.06.2012 0:00:00;5349;"ฬรา";4009
01.06.2012 0:00:00;114;"ฬรา";36302
01.06.2012 0:00:00;5357;"ยั";23
01.06.2012 0:00:00;489;"ยั";41540
01.06.2012 0:00:00;830;"ฬรา";348
01.06.2012 0:00:00;5066;"สรา";4630
01.06.2012 0:00:00;5060;"ฬรา";2101
01.06.2012 0:00:00;5286;"ยั";3272
01.06.2012 0:00:00;145;"ยั";11891
01.06.2012 0:00:00;151;"ฬรา";18397
01.06.2012 0:00:00;171;"ฬรา";15657
01.06.2012 0:00:00;296;"สรา";929
01.06.2012 0:00:00;715;"สรา";415
01.06.2012 0:00:00;224;"ฬรา";11740
01.06.2012 0:00:00;412;"ยั";3414
01.06.2012 0:00:00;725;"สรา";402
01.06.2012 0:00:00;769;"สรา";1010
01.06.2012 0:00:00;139;"ยั";28812
01.06.2012 0:00:00;210;"สรา";483
01.06.2012 0:00:00;715;"ฬรา";7671
01.06.2012 0:00:00;884;"ยั";13935
01.06.2012 0:00:00;945;"ฬรา";7285
01.06.2012 0:00:00;965;"ฬรา";6078
01.06.2012 0:00:00;5037;"ฬรา";18741
01.06.2012 0:00:00;480;"ฬรา";24654
01.06.2012 0:00:00;774;"ยั";15230
01.06.2012 0:00:00;5075;"ฬรา";304
01.06.2012 0:00:00;5180;"ยั";6812
01.06.2012 0:00:00;5241;"ฬรา";2080
01.06.2012 0:00:00;5315;"ยั";5214
01.06.2012 0:00:00;406;"สรา";1962
01.06.2012 0:00:00;708;"ฬรา";8058
01.06.2012 0:00:00;929;"ฬรา";2771
01.06.2012 0:00:00;5112;"ฬรา";6337
01.06.2012 0:00:00;5158;"ฬรา";11911
01.06.2012 0:00:00;5172;"ยั";4
