Белгородская область	RU-BEL
Брянская область	RU-BRY
Владимирская область	RU-VLA
Воронежская область	RU-VOR
Ивановская область	RU-IVA
Калужская область	RU-KLU
Костромская область	RU-KOS
Курская область	RU-KRS
Липецкая область	RU-LIP
Город Москва	RU-MOW
Московская область	RU-MOS
Орловская область	RU-ORL
Рязанская область	RU-RYA
Смоленская область	RU-SMO
Тамбовская область	RU-TAM
Тверская область	RU-TVE
Тульская область	RU-TUL
Ярославская область	RU-YAR
Республика Карелия	RU-KR
Республика Коми	RU-KO
Архангельская область	RU-ARK
Вологодская область	RU-VLG
Калининградская область	RU-KGD
Ленинградская область	RU-LEN
Город Санкт-Петербург	RU-SPE
Мурманская область	RU-MUR
Новгородская область	RU-NGR
Псковская область	RU-PSK
Ненецкий автономный округ	RU-NEN
Республика Адыгея	RU-AD
Республика Калмыкия	RU-KL
Краснодарский край	RU-KDA
Астраханская область	RU-AST
Волгоградская область	RU-VGG
Ростовская область	RU-ROS
Республика Дагестан	RU-DA
Республика Ингушетия	RU-IN
Кабардино-Балкарская Республика	RU-KB
Карачаево-Черкесская Республика	RU-KC
Республика Северная Осетия	RU-SE
Чеченская Республика	RU-CE
Ставропольский край	RU-STA
Республика Башкортостан	RU-BA
Республика Марий-Эл	RU-ME
Республика Мордовия	RU-MO
Республика Татарстан	RU-TA
Удмуртская Республика	RU-UD
Чувашская Республика	RU-CU
Пермский край	RU-PER
Кировская область	RU-KIR
Нижегородская область	RU-NIZ
Оренбургская область	RU-ORE
Пензенская область	RU-PNZ
Самарская область	RU-SAM
Саратовская область	RU-SAR
Ульяновская область	RU-ULY
Курганская область	RU-KGN
Свердловская область	RU-SVE
Тюменская область	RU-TYU
Челябинская область	RU-CHE
Ханты-мансийский автономный округ	RU-KHM
Ямало-ненецкий автономный округ	RU-YAN
Республика Алтай	RU-AL
Республика Бурятия	RU-BU
Республика Тыва	RU-TY
Республика Хакасия	RU-KK
Алтайский край	RU-ALT
Забайкальский край	RU-ZAB
Красноярский край	RU-KYA
Иркутская область	RU-IRK
Кемеровская область	RU-KEM
Новосибирская область	RU-NVS
Омская область	RU-OMS
Томская область	RU-TOM
Республика Саха (Якутия)	RU-SA
Приморский край	RU-PRI
Камчатский край	RU-KAM
Хабаровский край	RU-KHA
Амурская область	RU-AMU
Магаданская область	RU-MAG
Сахалинская область	RU-SAK
Еврейская автономная область	RU-YEV
Чукотский автономный округ	RU-CHU
Чеченская Республика и Республика Ингушетия	RU-CE & RU-IN
