id;shop;adress;format;region;city
100;100 СМ ЛП21;г. Москва, Ленинский пр-т, д. 21;Супермаркет;Московский;Москва
103;103 Минск СМ ЯК39;г. Минск, ул. Я. Коласа, 39;Супермаркет;Белорусский;Минск
104;104 Ленинский пр-т, 81;г. Москва, Ленинский пр-т, д. 81;Супермаркет;Московский;Москва
108;108 СМ ДШ37;г. Москва, Дмитровское ш., д. 37, корп. 1;Супермаркет;Московский;Москва
113;113 ТЦ «Марко Сити»;"г. Витебск, ТЦ ""Марко Сити""";Супермаркет;Белорусский;Витебск
114;114 СМ СП6;г. Москва, Смоленская пл., д. 6, стр. 1;Супермаркет;Московский;Москва
117;117 СМ НО28;г. Москва, ул. Народного Ополчения, д. 28;Супермаркет;Московский;Москва
120;"120 O'S ""Мега"" КШ41";"Московская обл., Ленинский р-н, Калужское ш. 21км., д.1, ТЦ ""Мега""";O'STIN;Московский;Москва
121;121 СМ КШ58;г. Москва, Каширское ш., д. 58, корп. 1;Супермаркет;Московский;Москва
122;122 O'STIN Ашан;"Московская обл.,Одинцовский р-н, 53 км. МКАД, ""Ашан""";O'STIN;Московский;Москва
123;123 СМ АШ79;г. Москва, Алтуфьевское ш., д. 79;Супермаркет;Московский;Москва
125;125 СМ ЛЮ128;г. Москва, ул. Люблинская, д. 128;Супермаркет;Московский;Москва
126;126 СМ ЩШ100;"г. Москва, ТЦ ""Щелково"", ул. Щелковское шоссе, д. 100";Гипермаркет;Московский;Москва
128;128 СМ ПЕ66;г. Москва, ул. Первомайская, д. 66;Супермаркет;Московский;Москва
129;"129 Химки O'S ""Лига""";"г. Химки, пер. Ленинградского ш. и Юбилейного пр-та., ТЦ ""Лига""";O'STIN;Московский;Химки
130;130 O'S ПР61;"г. Москва, ул. Профсоюзная, д.61-А, ТЦ ""Калужский""";O'STIN;Московский;Москва
131;131 O'S ПЕ43;г. Москва, ул. Перерва, д. 43, к. 1;O'STIN;Московский;Москва
132;132 O'S ДЕ12;"г. Москва, ул. Декабристов, д. 12, ТЦ ""Золотой Вавилон""";O'STIN;Московский;Москва
133;133 СМ ВШ124;"г. Москва, ТЦ ""Меркадо"", Варшавское шоссе 124";Супермаркет;Московский;Москва
134;134 O'S ДШ89;"г.Москва, Дмитровское ш., д.89, ТЦ ""XL""";O'STIN;Московский;Москва
135;135 СМ МКАД 71-й км;"МКАД 71-й км, дер. Путилково, Красногорский р-н, ТЦ ""Вэйпарк""";Супермаркет;Московский;Москва
136;"136 O'S ""Варшавский""";"г. Москва, Варшавское шоссе, д. 87, ТЦ ""Варшавский""";O'STIN;Московский;Москва
137;137 СМ ВП70;г. Москва, Волгоградский пр-т, д. 70;Супермаркет;Московский;Москва
138;138 СМ-Д Ор11;г. Москва, ул. Орджоникидзе, д. 11;Дисконт;Московский;Москва
139;139 СМ ТЦ «Мебельград»;"г. Москва, ТЦ ""Мебельград"", ул.Генерала Белова, д. 35";Супермаркет;Московский;Москва
140;140 Мега - 2, Химки;"г. Химки, микрорайон №8, ул. Ленинградская, д. 1, ""Мега""";O'STIN;Московский;Химки
142;"142 O'STIN ТЦ ""Дружба""";г.Москва,ул.Новослободская,д.4;O'STIN;Московский;Москва
143;143 СМ СБ5;г. Москва, Славянский б-р., д. 5, корп. 1;Супермаркет;Московский;Москва
144;144 СМ Подольск;г. Подольск, ул. Кирова, д. 48;Супермаркет;Московский;Подольск
145;145 СМ ДД2;г. Москва, б-р Дмитрия Донского, д. 2, корп. 1;Супермаркет;Московский;Москва
146;146 O'S Мытищи;"г.Мытищи, ул.Коммунистическая, д.1, ТЦ"" XL-3""";O'STIN;Московский;Мытищи
147;147 СМ Жуковский;г. Жуковский, ул. Гагарина, д. 51;Супермаркет;Московский;Жуковский
148;148 O'S РИО;г.Москва,ул.Большая Черемушкинская,вл.1;O'STIN;Московский;Москва
150;"150 O'S ТЦ ""REAL""";г.Москва,Проектируемый проезд 5396,владение 15;O'STIN;Московский;Москва
151;151 СМ Балашиха;г. Балашиха, ул. Победы д. 2;Супермаркет;Московский;Балашиха
153;153 СМ РИО;"г. Москва, ТЦ ""РИО"", ул Б.Черемушкинская, вл 1";Супермаркет;Московский;Москва
154;"154 O'S ""Город"" РП2";г.Москва,Рязанский проспект,вл.2;O'STIN;Московский;Москва
155;155 МКАД 87 км;"г. Москва, 87-й км. МКАД, ""Час Пик""";O'STIN;Московский;Москва
156;156 СМ ЖБ9;г. Москва, Жулебинский б-р, д. 9;Супермаркет;Московский;Москва
158;158 O'S Арсенал;г.Москва,ул.Красного маяка,вл.2;O'STIN;Московский;Москва
159;159 СМ ВШ129;г. Москва, Варшавское ш., д. 129А;Гипермаркет;Московский;Москва
160;160 СМ МИ38;"г. Москва, ТЦ ""Ковчег"", ул. Митинская, д. 36 к. 1";Супермаркет;Московский;Москва
161;"161 O'S ТРК ""Щука""";"г.Москва,ул.Щукинская,вл.42,ТРК ""Алые Паруса""";O'STIN;Московский;Москва
162;"162 O'S ТЦ""Мосмарт""";"Московская обл.,Ленинский р-н,ТЦ ""Мосмарт""";O'STIN;Московский;Москва
163;"163 O'S ТЦ""Бауманский""";"г. Москва, ул. Бауманская, д. 32, стр. 2, БЦ ""Елоховский пассаж""";O'STIN;Московский;Москва
