dt;Otgruzka;priemka
01.09.2006 0:00;31588;70147
02.09.2006 0:00;21098;61749
03.09.2006 0:00;26290;34944
04.09.2006 0:00;33084;54086
05.09.2006 0:00;65881;76171
06.09.2006 0:00;51944;64980
07.09.2006 0:00;54617;80740
08.09.2006 0:00;41965;64339
09.09.2006 0:00;45137;70264
10.09.2006 0:00;25921;90187
11.09.2006 0:00;56181;50350
12.09.2006 0:00;58237;53238
13.09.2006 0:00;49182;73701
14.09.2006 0:00;43040;93063
15.09.2006 0:00;39391;77326
16.09.2006 0:00;28575;55893
17.09.2006 0:00;26163;77238
18.09.2006 0:00;59934;65628
19.09.2006 0:00;59432;73216
20.09.2006 0:00;63075;48060
21.09.2006 0:00;43991;11459
22.09.2006 0:00;39404;8986
23.09.2006 0:00;58620;22152
24.09.2006 0:00;45814;15612
25.09.2006 0:00;73131;29872
26.09.2006 0:00;38810;35873
27.09.2006 0:00;72001;46001
28.09.2006 0:00;84757;48912
29.09.2006 0:00;63314;44622
30.09.2006 0:00;69083;87619
01.10.2006 0:00;59426;46041
02.10.2006 0:00;40886;67887
03.10.2006 0:00;68133;46758
04.10.2006 0:00;54329;36697
05.10.2006 0:00;72698;97975
06.10.2006 0:00;100681;49160
07.10.2006 0:00;94788;42739
08.10.2006 0:00;59784;54783
09.10.2006 0:00;57627;67723
10.10.2006 0:00;41005;75657
11.10.2006 0:00;79390;40735
12.10.2006 0:00;71537;60628
13.10.2006 0:00;61733;79119
14.10.2006 0:00;56111;61941
15.10.2006 0:00;52721;37538
16.10.2006 0:00;73352;42162
17.10.2006 0:00;69761;49836
18.10.2006 0:00;45592;43536
19.10.2006 0:00;67732;27974
20.10.2006 0:00;65610;112539
21.10.2006 0:00;73607;42721
22.10.2006 0:00;71062;7000
23.10.2006 0:00;61718;68827
24.10.2006 0:00;50470;91234
25.10.2006 0:00;72247;54069
26.10.2006 0:00;97178;58369
27.10.2006 0:00;69748;25408
28.10.2006 0:00;91732;58863
29.10.2006 0:00;48052;64972
30.10.2006 0:00;72985;35933
31.10.2006 0:00;70330;63109
01.11.2006 0:00;82126;80239
02.11.2006 0:00;71956;51879
03.11.2006 0:00;87173;54865
04.11.2006 0:00;63806;47148
05.11.2006 0:00;74470;101937
06.11.2006 0:00;48598;39709
07.11.2006 0:00;91938;43301
08.11.2006 0:00;61902;70188
09.11.2006 0:00;98996;43068
10.11.2006 0:00;102677;74166
11.11.2006 0:00;54991;34686
12.11.2006 0:00;45153;28937
13.11.2006 0:00;97208;54358
14.11.2006 0:00;77327;64147
15.11.2006 0:00;57915;36966
16.11.2006 0:00;49979;19066
17.11.2006 0:00;48785;28304
18.11.2006 0:00;86244;10715
19.11.2006 0:00;23864;24617
20.11.2006 0:00;63438;22258
21.11.2006 0:00;70559;25541
22.11.2006 0:00;82385;29803
23.11.2006 0:00;54837;13561
24.11.2006 0:00;68494;15450
25.11.2006 0:00;55633;47271
26.11.2006 0:00;24498;10749
27.11.2006 0:00;78271;34891
28.11.2006 0:00;92329;19875
29.11.2006 0:00;57329;8914
30.11.2006 0:00;48317;32327
01.12.2006 0:00;53573;44474
02.12.2006 0:00;59143;44148
03.12.2006 0:00;33686;30740
04.12.2006 0:00;48722;8076
05.12.2006 0:00;49961;15370
06.12.2006 0:00;25827;14750
07.12.2006 0:00;41240;20183
08.12.2006 0:00;44376;14073
09.12.2006 0:00;30105;14420
10.12.2006 0:00;23924;209
11.12.2006 0:00;48940;15138
12.12.2006 0:00;25808;75391
13.12.2006 0:00;21550;64364
14.12.2006 0:00;32007;92796
15.12.2006 0:00;20810;89337
16.12.2006 0:00;47718;53596
17.12.2006 0:00;18365;20094
18.12.2006 0:00;37474;34145
19.12.2006 0:00;24808;27156
20.12.2006 0:00;44260;60334
21.12.2006 0:00;30348;27429
22.12.2006 0:00;34058;65668
23.12.2006 0:00;48384;129711
24.12.2006 0:00;23304;57762
25.12.2006 0:00;44228;22952
26.12.2006 0:00;57804;47678
27.12.2006 0:00;19888;77280
28.12.2006 0:00;40278;122088
29.12.2006 0:00;30658;130366
30.12.2006 0:00;18025;43935
31.12.2006 0:00;19250;66572
03.01.2007 0:00;4701;31974
04.01.2007 0:00;24807;11048
05.01.2007 0:00;19163;3794
06.01.2007 0:00;11546;9149
07.01.2007 0:00;15497;8517
08.01.2007 0:00;12;
09.01.2007 0:00;45;
10.01.2007 0:00;77;
11.01.2007 0:00;174;10
12.01.2007 0:00;3;1
13.01.2007 0:00;;47126
14.01.2007 0:00;9;47760
15.01.2007 0:00;3290;127289
16.01.2007 0:00;30660;118262
17.01.2007 0:00;39973;59081
18.01.2007 0:00;52217;63906
19.01.2007 0:00;45011;82288
20.01.2007 0:00;56938;70104
21.01.2007 0:00;25953;93472
22.01.2007 0:00;34422;98321
23.01.2007 0:00;28240;148247
24.01.2007 0:00;21481;109539
25.01.2007 0:00;40679;61689
26.01.2007 0:00;46055;74449
27.01.2007 0:00;59383;153457
28.01.2007 0:00;78149;132519
29.01.2007 0:00;58450;123450
30.01.2007 0:00;73798;40862
31.01.2007 0:00;40630;81808
01.02.2007 0:00;41646;124910
02.02.2007 0:00;51846;125084
03.02.2007 0:00;32648;163499
04.02.2007 0:00;64303;180068
